message,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:45.000000000Z
Starting Container,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:46.000000000Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:49.000000000Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:49.848072337Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:49.848076159Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:49.848080336Z
INFO  [alembic.runtime.migration] Context impl PostgresqlImpl.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:52.874615340Z
INFO  [alembic.runtime.migration] Will assume transactional DDL.,"{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:52.874629062Z
"ERROR [flask_migrate] Error: Multiple head revisions are present for given argument 'head'; please specify a specific target revision, '<branchname>@head' to narrow to a specific head, or 'heads' for all heads","{""level"":""error""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:52.874637012Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/34f33de9-1eb8-458b-932b-e17895271f36/vol_8bw3q0ip4r59yayg,"{""level"":""info""}","{""project"":""fa8897eb-9530-4b8a-8705-02eab2675121"",""environment"":""cb500ee4-b703-4f42-b123-1aaa0af896d3"",""service"":""2e4df287-7791-4424-a6ed-aecc7d7e2eab"",""deployment"":""05567492-11c9-4d7c-ba80-dfbefce737b3"",""replica"":""34f33de9-1eb8-458b-932b-e17895271f36""}",2025-12-15T13:30:54.000000000Z
